DUID,STATIONID,REGIONID,PARTICIPANTID,DUIDNAME,STATIONNAME,PARTICIPANTNAME,CONNECTIONPOINTID,DISPATCHTYPE,STARTTYPE,VOLTLEVEL,REGISTEREDCAPACITY,AGCCAPABILITY,MAXCAPACITY,NORMALLYONFLAG,PHYSICALDETAILSFLAG,SPINNINGRESERVEFLAG,TRANSMISSIONLOSSFACTOR,STARTDATE,ENDDATE,COMMENCEDDATE,FIRSTDISPATCHDATE,TYPE,DESCRIPTION,MMS_ACTIVE,MMS_STARTDATE,MMS_ENDDATE,INTERMITTENTFLAG,FUELTYPE,COOLINGTYPE,COOLINGTYPE_COMMENT,CLASSIFICATIONID,TECHNOLOGYTYPE,THERMAL_EFFICIENCY_FACTOR,EMISSION_INTENSITY_FACTOR,GAS_PIPELINE_ID,OWNERSHIP_TYPE,OWNERSHIP_DESC,OWNERSHIP_LASTCHANGED,SCHEDULE_TYPE,MAXRATEOFCHANGEUP,MAXRATEOFCHANGEDOWN,MINIMUMLOAD_LEVEL,RETIRED_MOTHBALLED,SUBREGION,MIN_RAMP_RATE_UP,MIN_RAMP_RATE_DOWN,MAX_RAMP_RATE_UP,MAX_RAMP_RATE_DOWN,IS_AGGREGATED
AEMONSW1,AEMONSW1,NSW1,AEMODRSP,AEMONSW,AEMONSW,AEMO DRSP,AEMONSWCON,LOAD,FAST,1,14,N,14,Y,,,1,1/10/2021 00:00,31/12/2999 00:00,1/10/2021 00:00,,,,Y,1/10/2021 00:00,,N,,,,,,,,,,,,SCHEDULED,,,,,,2,2,2,2,0
AEMOQLD1,AEMOQLD1,QLD1,AEMODRSP,AEMOQLD,AEMOQLD,AEMO DRSP,AEMOQLDCON,LOAD,FAST,1,60,N,60,Y,,,1,1/10/2021 00:00,31/12/2999 00:00,1/10/2021 00:00,,,,Y,1/10/2021 00:00,,N,,,,,,,,,,,,SCHEDULED,,,,,,3,3,12,12,0
AEMOSA1,AEMOSA1,SA1,AEMODRSP,AEMOSA,AEMOSA,AEMO DRSP,AEMOSACON,LOAD,FAST,1,21,N,21,Y,,,1,1/10/2021 00:00,31/12/2999 00:00,1/10/2021 00:00,,,,Y,1/10/2021 00:00,,N,,,,,,,,,,,,SCHEDULED,,,,,,3,3,4,4,0
AEMOVIC1,AEMOVIC1,VIC1,AEMODRSP,AEMOVIC,AEMOVIC,AEMO DRSP,AEMOVICCON,LOAD,FAST,1,4,N,4,Y,,,1,1/10/2021 00:00,31/12/2999 00:00,1/10/2021 00:00,,,,Y,1/10/2021 00:00,,N,,,,,,,,,,,,SCHEDULED,,,,,,1,1,1,1,0
ASNAES1,ASNAES,NSW1,AMALMASP,AS AES NSW 1,AS AES NSW,Amalgamated Energy Services Pty Ltd,NRTAMAL1,LOAD,NOT DISPATCHED,1,1,N,1,N,,,1,1/7/2023 00:00,31/12/2999 00:00,10/3/2020 00:00,,,<p>&nbsp;Company name per AEMO Generator List. Ancilliary Services.</p>,Y,10/3/2020 00:00,,N,DRA,,,,,,,,,Amalgamated Energy Services Pty Ltd,,NON-SCHEDULED,,,,,,0,0,0,0,
ASQEEV1,ASQEEV1,QLD1,EEQ,AS BOHLE BESS Q VL1,AS BOHLE BESS Q VL1,Ergon Energy Queensland Pty Ltd,QASEEQ01,LOAD,NOT DISPATCHED,1,1,N,1,N,,,1,1/7/2023 00:00,31/12/2999 00:00,27/9/2022 00:00,,,,Y,27/9/2022 00:00,,N,,,,,,,,,,,,NON-SCHEDULED,,,,,,0,0,0,0,
ASTFG1V1,ASTFG1,TAS1,FIRMMASP,AS FIRMGRID TAS1 VL1,AS FIRMGRID TAS1,Firmus Grid Pty Ltd,TASFIRM1,LOAD,NOT DISPATCHED,1,1,N,1,N,,,1,1/7/2021 00:00,22/3/2022 00:00,1/12/2020 00:00,,,,Y,1/12/2020 00:00,,N,DRA,,,,,,,,,,,NON-SCHEDULED,,,,,,0,0,0,0,
ASPAPM01,ASPAPM01,SA1,PAPMICRO,AS PAPOWERMG S 1,AS PAPOWERMG S 1,PA Power Microgrid 1 Pty Ltd,SASPAP01,LOAD,NOT DISPATCHED,1,1,N,1,N,,,1,1/7/2023 00:00,31/12/2999 00:00,14/3/2023 00:00,,,,Y,14/3/2023 00:00,,N,,,,,,,,,,,,NON-SCHEDULED,,,,,,0,0,0,0,
ASSSN1,ASSSN,SA1,SONNMASP,AS SONNEN SA VL1,AS Sonnen SA,Sonnen Australia Pty Limited,SASSONN1,LOAD,NOT DISPATCHED,1,1,N,1,N,,,1,1/7/2023 00:00,31/12/2999 00:00,21/10/2021 00:00,,,,Y,21/10/2021 00:00,,N,VPP,,,NMNS,,,,,,,,NON-SCHEDULED,,,,,,0,0,0,0,
ASNSEL2,ASNSEL2,NSW1,SAVPP1,AS TEP ENLOC N VL2,AS TEP ENLOC N VL2,Energy Locals Pty Ltd,NASSAV01,LOAD,NOT DISPATCHED,1,1,N,1,N,,,1,1/7/2023 00:00,31/12/2999 00:00,7/10/2022 00:00,,,,Y,7/10/2022 00:00,,N,,,,,,,,,,,,NON-SCHEDULED,,,,,,0,0,0,0,
